FID,DISTRICT,NAME,FULLNAME,EMAIL,URL,DISTRICT_N,Shape__Area,Shape__Length
1,39,John Doll,John Doll,John.Doll@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_doll_john_1/,39,36811179746.3359,892541.661475449
2,40,Rick Billinger,Rick Billinger,Rick.Billinger@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_billinger_rick_1/,40,56392679774.4688,1091027.25467012
3,38,Ron Ryckman,Ron Ryckman,Ron.Ryckman@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_ryckman_ronald_1/,38,24776715182.7539,702461.717049984
4,34,Mark Steffen,Mark Steffen,Mark.Steffen@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_steffen_mark_1/,34,13536027752.0352,628174.50857938
5,26,Dan Kerschen,Dan Kerschen,Dan.Kerschen@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_kerschen_dan_1/,26,1988699271.63281,224126.409955854
6,32,Larry Alley,Larry Alley,Larry.Alley@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_alley_larry_1/,32,14291328669.0938,616331.187761903
7,27,Chase Blasi,Chase Blasi,Chase.Blasi@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_blasi_chase_1/,27,149812524.238281,74363.2843939245
8,28,Mike Petersen,Mike Petersen,Mike.Petersen@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_petersen_mike_1/,28,184031686.636719,87910.9548964281
9,25,Mary Ware,Mary Ware,Mary.Ware@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_ware_mary_1/,25,87197535.9257813,75953.9967808904
10,29,Oletha Faust-Goudeau,Oletha Faust-Goudeau,Oletha.Faust-Goudeau@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_faust_goudeau_oletha_1/,29,93024679.6992188,57735.7043560202
11,30,Renee Erickson,Renee Erickson,Renee.Erickson@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_erickson_renee_1/,30,491228695.894531,140310.97111367
12,33,Alicia Straub,Alicia Straub,Alicia.Straub@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_straub_alicia_1/,33,35895825357.4219,1053514.765094
13,36,Elaine Bowers,Elaine Bowers,Elaine.Bowers@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_bowers_elaine_1/,36,45282720491.8633,1049316.29351271
14,31,Carolyn McGinn,Carolyn McGinn,Carolyn.McGinn@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_mcginn_carolyn_1/,31,3072759783.58594,262723.146083497
15,16,Ty Masterson,Ty Masterson,Ty.Masterson@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_masterson_ty_1/,16,1289881159.89453,205778.930580148
16,14,Michael Fagg,Michael Fagg,Michael.Fagg@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_fagg_michael_1/,14,19472934896.7148,722814.903663513
17,24,JR Claeys,JR Claeys,JRClaeys@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_claeys_jr_1/,24,6723993669.23047,388118.470726804
18,22,Usha Reddi,Usha Reddi,Usha.Reddi@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_reddi_usha_1/,22,2693823344.60547,340160.657629752
19,15,Virgil Peck,Virgil Peck,Virgil.Peck@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_peck_virgil_1/,15,13031132409.0234,590762.159064551
20,13,Richard Hilderbrand,Richard Hilderbrand,Richard.Hilderbrand@senate.ks.gov,http://www.kslegislature.org/li_2022/b2021_22/members/sen_hilderbrand_richard_1/,13,7527922516.11719,396315.208159409
21,17,Jeff Longbine,Jeff Longbine,Jeff.Longbine@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_longbine_jeff_1/,17,8348422551.32813,547492.02349349
22,3,Tom Holland,Tom Holland,Tom.Holland@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_holland_tom_1/,3,5643573531.21094,439183.812861301
23,20,Brenda Dietrich,Brenda Dietrich,Brenda.Dietrich@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_dietrich_brenda_1/,20,4172149408.58203,367829.11933204
24,18,Kristen OShea,Kristen OShea,Kristen.OShea@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_oshea_kristen_1/,18,6408633006.19531,612435.735201722
25,19,Rick Kloos,Rick Kloos,Rick.Kloos@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_kloos_rick_1/,19,402919514.632813,159094.171129121
26,1,Dennis Pyle,Dennis Pyle,Dennis.Pyle@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_pyle_dennis_1/,1,16799406319.918,738151.946282888
27,12,Caryn Tyson,Caryn Tyson,Caryn.Tyson@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_tyson_caryn_1/,12,17088517597.7891,686777.148255894
28,37,Molly Baumgardner,Molly Baumgardner,Molly.Baumgardner@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_baumgardner_molly_1/,37,1506612422.125,245164.271514971
29,2,Marci Francisco,Marci Francisco,Marci.Francisco@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_francisco_marci_1/,2,184421195.226563,89042.0257931237
30,9,Beverly Gossage,Beverly Gossage,Beverly.Gossage@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_gossage_beverly_1/,9,1903887046.8125,288839.57268154
31,23,Rob Olson,Rob Olson,Rob.Olson@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_olson_robert_1/,23,265664292.125,92838.1113635785
32,10,Mike Thompson,Mike Thompson,Mike.Thompson@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_thompson_mike_1/,10,244055929.5,77849.3472230431
33,35,Richard Wilborn,Richard Wilborn,Richard.Wilborn@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_wilborn_rick_1/,35,212844074.464844,100947.604494864
34,11,Kellie Warren,Kellie Warren,Kellie.Warren@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_warren_kellie_1/,11,223693160.308594,100991.972118541
35,21,Dinah Sykes,Dinah Sykes,Dinah.Sykes@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_sykes_dinah_1/,21,123589440.78125,79881.3015269526
36,8,Cindy Holscher,Cindy Holscher,Cindy.Holscher@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_holscher_cindy_1/,8,96659458.5234375,57268.4080583609
37,7,Ethan Corson,Ethan Corson,Ethan.Corson@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_corson_ethan_1/,7,91805774.9570313,44100.5534136247
38,5,Jeff Pittman,Jeff Pittman,Jeff.Pittman@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_pittman_jeff_1/,5,546299818.050781,149160.162118518
39,6,Pat Pettey,Pat Pettey,Pat.Pettey@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_pettey_pat_1/,6,216389853.550781,86418.9959441825
40,4,David Haley,David Haley,David.Haley@senate.ks.gov,http://www.kslegislature.org/li/b2023_24/members/sen_haley_david_1/,4,171752047.886719,69243.624598033
